uniprot_id	protein	gene	refseq	wt_tpm.txt
A0A0H3C819	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH	WP_010919236.1;YP_002516794.1;	440.606
A0A0H3C5T6	ATP-dependent RNA helicase		WP_010918720.1;YP_002516251.1;	82.869
A0A0H3CC10	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)		WP_015923295.1;YP_002518980.1;	916.785
A0A0H3CCC8	LytR/AlgR-family transcriptional regulator		WP_010920872.1;YP_002518504.1;	66.4716
A0A0H3CAU5	ABC transporter ATP-binding protein		WP_010919774.1;YP_002517358.1;	11.5444
A0A0H3C7B4	K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase)	hppA	WP_010919240.1;YP_002516798.1;	32.6881
A0A0H3C6I8	PAS-family sensor histidine kinase (EC 2.7.13.3)		WP_010918721.1;YP_002516252.1;	20.1885
A0A0H3C4A7	Histidine kinase (EC 2.7.13.3)		WP_010917916.1;YP_002515401.1;	17.0052
A0A0H3CBQ5	Conserved membrane protein		WP_024265849.1;YP_002518239.2;	157.114
A0A0H3CA67	Inositol monophosphatase family protein (EC 3.1.3.15)		WP_010920113.1;YP_002517708.1;	78.5803
A0A0H3C4U2	Uncharacterized protein		WP_010918719.1;YP_002516250.1;	87.66
A0A0H3C8P5	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX	WP_010919771.1;YP_002517355.1;	154.897
A0A0H3C7X4	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB	WP_010919775.1;YP_002517359.1;	63.2924
A0A0H3CDT2	Uncharacterized protein		WP_024265982.1;YP_002519078.2;	1413.5
A0A0H3C6P2	Uncharacterized protein		WP_010918259.1;YP_002515750.1;	1298.51
A0A0H3C3Q3	Acyl-CoA dehydrogenase (EC 1.3.8.7)		WP_010917969.1;YP_002515453.1;	97.0285
A0A0H3CDA4	Phage host specificity protein		WP_010920615.1;YP_002518235.1;	1.10168
A0A0H3C6H4	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)		WP_010919232.1;YP_002516790.1;	336.577
A0A0H3C9R2	Ribonuclease, CafA family		WP_010920200.1;YP_002517799.1;	134.605
A0A0H3C915	Pyruvate kinase (EC 2.7.1.40)		WP_010919914.1;YP_002517503.1;	178.707
A0A0H3C808	NADH-quinone oxidoreductase chain E (EC 1.6.5.3)	nuoE	WP_010919816.1;YP_002517400.1;	666.921
A0A0H3C7W2	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA	WP_012640217.1;YP_002516792.1;	356.962
A0A0H3CG88	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho	WP_024266008.1;YP_002519249.4;	455.344
A0A0H3C8F5	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC	WP_010919440.1;YP_002517010.1;	214.609
A0A0H3CB86	Phosphogluconate dehydratase (EC 4.2.1.12)	edd	WP_010919918.1;YP_002517507.1;	714.709
A0A0H3C912	TonB1 protein	tonB1	WP_012640470.1;YP_002517792.1;	4335.54
A0A0H3C5F7	Type I protein secretion ATP-binding protein RsaD	rsaD	WP_010918892.1;YP_002516433.1;	357.569
A0A0H3C7J5	Malate synthase (EC 2.3.3.9)		WP_010919633.1;YP_002517216.1;	8.90831
A0A0H3C9Y3	Conjugal transfer protein TrbF		WP_010920536.1;YP_002518142.1;	12.0253
A0A0H3C2V8	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)		WP_012639888.1;YP_002515520.1;	58.2464
A0A0H3CBT5	Single domain receiver protein CleC	cleC	WP_010920110.1;YP_002517705.1;	336.425
A0A0H3CAE6	Zn-dependent hydrolase, glyoxalase II family		WP_012640607.1;YP_002518332.1;	8.46337
A0A0H3C6P6	Adenine DNA glycosylase (EC 3.2.2.31)		WP_010918265.1;YP_002515756.1;	38.4782
A0A0H3C8T4	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)		WP_010920111.1;YP_002517706.1;	116.328
A0A0H3C4P0	LuxR-like DNA-binding protein		WP_024265625.1;YP_002516196.2;	82.8155
A0A0H3C8B2	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl	WP_010919919.1;YP_002517508.1;	436.849
A0A0H3C761	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)	astD	WP_010919481.1;YP_002517052.1;	299.479
A0A0H3C3L7	Major facilitator superfamily transporter		WP_010917915.1;YP_002515400.1;	111.262
A0A0H3C5R0	Methyltransferase (EC 2.1.1.-)		WP_012639996.1;YP_002515927.1;	62.7306
A0A0H3CBK4	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)	msrQ	WP_010920588.1;YP_002518206.1;	40.3744
A0A0H3C7L5	Outer membrane efflux protein		WP_010919653.1;YP_002517236.1;	33.121
A0A0H3CES2	Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase)	pbpC	WP_010921109.1;YP_002518759.1;	43.5117
A0A0H3C8J7	Exopolyphosphatase GppA (EC 3.6.1.11)		WP_024265726.1;YP_002517059.2;	169.664
A0A0H3C9C5	NADH-quinone oxidoreductase subunit D (EC 7.1.1.-) (NADH dehydrogenase I subunit D) (NDH-1 subunit D)	nuoD	WP_012640370.1;YP_002517402.1;	751.058
A0A0H3C7W9	DNA translocation competence protein ComA		WP_010919770.1;YP_002517354.1;	15.1202
A0A0H3C9K1	LexA repressor (EC 3.4.21.88)	lexA	WP_024265748.1;YP_002517352.2;	223.585
A0A0H3C820	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		WP_012640376.1;YP_002517418.1;	27.0744
A0A0H3C8D6	Ribokinase (RK) (EC 2.7.1.15)	rbsK	WP_010918834.1;YP_002516374.1;	111.234
A0A0H3CBF6	Cobyric acid synthase	cobQ	WP_010920540.1;YP_002518149.1;	23.9892
A0A0H3C9J4	Cell cycle regulatory protein GcrA	gcrA	WP_024265783.1;YP_002517701.2;	553.016
A0A0H3C748	Histidine utilization repressor		WP_010918846.1;YP_002516386.1;	128.664
A0A0H3C8Y0	Two-component response regulator protein		WP_010919635.1;YP_002517218.1;	97.4984
A0A0H3C724	Protease II PtrB (EC 3.4.21.83)	ptrB	WP_010918820.1;YP_002516358.1;	130.895
A0A0H3C781	UDP-perosamine 4-acetyl transferase PerB (EC 2.3.1.-)	perB	WP_010918895.1;YP_002516436.1;	374.718
A0A0H3C3Q7	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH	WP_010917975.1;YP_002515459.1;	48.394
A0A0H3C9D1	Glycosyltransferase (EC 2.4.1.-)		WP_010919824.1;YP_002517408.1;	23.2164
A0A0H3CA27	HipA-related phosphatidylinositol 3/4-kinase		WP_010920579.1;YP_002518194.1;	72.0803
A0A0H3CCY9	Uncharacterized protein		WP_024265931.1;YP_002518755.2;	70.587
A0A0H3C3G8	Glucan endo-1,3-beta-glucosidase (EC 3.2.1.39)		WP_010918268.1;YP_002515759.1;	55.0619
A0A0H3CG77	L,D-transpeptidase LdtX	ldtX	WP_010921571.1;YP_002519233.1;	61.5188
A0A0H3C344	Phosphocarrier protein HPr (EC 2.7.1.191)		WP_010918130.1;YP_002515616.1;	845.966
A0A0H3C8C8	TonB-dependent receptor		WP_010919649.1;YP_002517232.1;	135.814
A0A0H3C4S8	Histidine kinase (EC 2.7.13.3)	chvG	WP_010918127.1;YP_002515613.1;	60.2161
A0A0H3C7R6	Uncharacterized protein		WP_010918617.1;YP_002516141.1;	344.527
A0A0H3CD45	Inositol-1-monophosphatase (EC 3.1.3.25)		WP_012640711.1;YP_002518751.2;	358.833
A0A0H3CAE8	Lysophospholipase L2 (EC 3.1.1.5)		WP_010920114.1;YP_002517709.1;	69.842
A0A0H3C4S6	Bacteriophage P4 integrase		WP_024265555.1;YP_002515853.2;	13.3561
A0A0H3CAD1	Nucleoside-diphosphate-sugar epimerase		WP_010920689.1;YP_002518315.1;	163.058
A0A0H3CAH5	Uncharacterized protein		WP_012640331.1;YP_002517235.1;	36.2565
A0A0H3C584	Uncharacterized protein		WP_012640100.1;YP_002516370.1;	80.3719
A0A0H3C6S4	Flagellar biosynthesis protein FlhA	flhA	WP_010918794.1;YP_002516329.1;	93.7498
A0A0H3C734	Uncharacterized protein		WP_010918405.1;YP_002515924.1;	58.8229
A0A0H3CA03	Arginine N-succinyltransferase, beta chain (EC 2.3.1.109)		WP_010919480.1;YP_002517051.1;	393.392
A0A0H3CAK8	TonB protein		WP_010920186.1;YP_002517785.1;	64.7081
A0A0H3CBG0	Uncharacterized protein		WP_010921104.1;YP_002518753.1;	235.587
A0A0H3C826	Beta-barrel assembly machine (BAM) protein BamE	bamE	WP_012640219.1;YP_002516800.1;	297.235
A0A0H3C694	N-formylglutamate deformylase (EC 3.5.1.68)		WP_010918842.1;YP_002516382.1;	77.1518
A0A0H3CBY6	HicB-family RNAse H fold protein		WP_010920709.1;YP_002518335.1;	178.038
A0A0H3C6B0	Uncharacterized protein		WP_010918124.1;YP_002515610.1;	104.438
A0A0H3C6X6	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD	WP_012640249.1;YP_002516923.1;	99.2967
A0A0H3C983	Isocitrase (EC 4.1.3.1) (Isocitratase) (Isocitrate lyase)		WP_010919632.1;YP_002517214.1;	5.31551
A0A0H3CD71	Transposase		WP_010920583.1;YP_002518198.1;	75.9441
A0A0H3C7R0	Histidine kinase (EC 2.7.13.3)		WP_012640200.1;YP_002516736.1;	15.8136
A0A0H3C789	GPH-family phosphatase (EC 3.1.3.18)		WP_024265730.1;YP_002517088.2;	128.673
A0A0H3CA41	Uncharacterized protein		WP_010920591.1;YP_002518209.1;	44.7697
A0A0H3C9Y6	Uncharacterized protein		WP_024265835.1;YP_002518147.2;	431.3
A0A0H3C8N9	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)		WP_010919766.1;YP_002517350.1;	103.755
A0A0H3C4Y1	Uncharacterized protein		WP_012639927.1;YP_002515649.1;	54.1549
A0A0H3C610	Uncharacterized protein		WP_012640085.1;YP_002516322.1;	285.429
A0A0H3C684	ROS/MUCR transcriptional regulator MucR2	mucR2	WP_012640101.1;YP_002516371.1;	957.172
A0A0H3C3W6	Conserved hypothetical membrane protein		WP_010918044.1;YP_002515529.1;	110.252
A0A0H3CEJ4	Two-component response regulator cenR	cenR	WP_024266002.1;YP_002519232.3;	318.578
A0A0H3CDD2	Death on curing toxin protein doc	doc	WP_010921192.1;YP_002518846.1;	150.605
A0A0H3C918	TetR-family transcriptional regulator		WP_010920198.1;YP_002517797.1;	195.711
A0A0H3CBP2	Cytochrome c-type biogenesis protein ccmI		WP_010920603.1;YP_002518223.1;	65.5221
A0A0H3CC23	Uncharacterized protein		WP_024265794.1;YP_002517796.2;	152.288
A0A0H3C832	MerR-family transcriptional regulator		WP_010919248.1;YP_002516807.1;	76.0563
A0A0H3CB34	HTH DNA-binding protein		WP_010920707.1;YP_002518333.1;	21.4664
A0A0H3CD24	Conjugal transfer protein TrbG		WP_010920535.1;YP_002518141.1;	21.3061
A0A0H3C6D4	3-ketoacyl-CoA thiolase (EC 2.3.1.9)		WP_010918664.1;YP_002516193.1;	16.3621
A0A0H3CD63	Uncharacterized protein		WP_015923259.1;YP_002518845.1;	420.922
A0A0H3C5J2	NAD(+) diphosphatase (EC 3.6.1.22)		WP_010918155.1;YP_002515642.1;	150.758
A0A0H3CFF1	HTH XRE-family transcriptional regulator		WP_024265969.1;YP_002518985.2;	1280.43
A0A0H3CAU0	PEP phosphonomutase related enzyme (EC 4.1.3.30)		WP_010919769.1;YP_002517353.1;	39.6055
A0A0H3C9Q0	Alpha-methylacyl-CoA racemase (EC 5.1.99.4)		WP_010920184.1;YP_002517783.1;	15.354
A0A0H3C7X0	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91) (U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase A)	dusA	WP_010919183.1;YP_002516737.1;	120.19
A0A0H3C8J5	Perosamine synthetase PerA (EC 2.6.1.-)	perA	WP_010918896.1;YP_002516437.1;	230.908
A0A0H3C9A9	Cation/multidrug efflux pump acrB4	acrB4	WP_010919656.1;YP_002517239.1;	23.4843
A0A0H3CD92	Alpha/beta hydrolase family protein		WP_024265848.1;YP_002518224.2;	37.3853
A0A0H3C543	Antitoxin protein VapB	vapB	WP_012639860.1;YP_002515407.1;	111.178
A0A0H3CAH0	AraC-family transcriptional regulator		WP_010919647.1;YP_002517230.1;	52.0539
A0A0H3CDK2	TonB dependent receptor		WP_024265970.1;YP_002518988.2;	540.126
A0A0H3CBM0	Heme chaperone-apocytochrome heme-lyase (EC 4.4.1.-)		WP_010920601.1;YP_002518221.1;	115.107
A0A0H3C8Z7	Periplasmic multidrug efflux lipoprotein		WP_010919655.1;YP_002517238.1;	16.0412
A0A0H3C5I2	HipB transcriptional regulator		WP_024265556.1;YP_002515854.3;	39.9501
A0A0H3CBG9	Conjugal transfer protein TrbI		WP_010920534.1;YP_002518140.1;	22.7515
A0A0H3C784	BetA-family choline dehydrogenase (EC 1.1.99.-)		WP_010919511.1;YP_002517083.1;	8.66831
A0A0H3CE21	Ribosome association toxin RatA		WP_015923316.1;YP_002519070.1;	23.93
A0A0H3C6C6	Uncharacterized protein		WP_010919185.1;YP_002516739.1;	93.0474
A0A0H3C598	Multicopper oxidase PcoA (EC 1.-.-.-)		WP_024265648.1;YP_002516388.3;	55.0102
A0A0H3C828	Uncharacterized protein		WP_010919517.1;YP_002517089.1;	58.6894
A0A0H3CCX3	PadR-family transcriptional regulator		WP_010921019.1;YP_002518659.1;	121.401
A0A0H3C5Z1	Toxin protein module HipA		WP_012639983.1;YP_002515855.1;	27.0362
A0A0H3C7X3	2-nitropropane dioxygenase family protein (EC 1.3.1.9)		WP_010919444.1;YP_002517014.1;	17.4567
A0A0H3C7W1	Uncharacterized protein		WP_024265624.1;YP_002516195.2;	83.5723
A0A0H3CCP5	DNA polymerase III, delta subunit (EC 2.7.7.7)		WP_015923357.1;YP_002519240.1;	129.754
A0A0H3C8L1	Chemotaxis motB protein		WP_010919447.1;YP_002517017.1;	235.752
A0A0H3CCW6	Cell division protein ZapA	zapA	WP_010921080.1;YP_002518728.1;	145.581
A0A0H3C514	Flagellar motor switch protein FliN	fliN	WP_010918792.1;YP_002516326.1;	102.206
A0A0H3CG81	LptE superfamily protein		WP_010921577.1;YP_002519239.1;	115.848
A0A0H3CBK9	EF hand domain protein		WP_010920593.1;YP_002518211.1;	77.2793
A0A0H3C8B1	Transposase, IS30 family		WP_010919629.1;YP_002517210.1;	6.85031
A0A0H3C9J9	Transcriptional regulator of stalk biogenesis staR	staR	WP_010920112.1;YP_002517707.1;	235.318
A0A0H3CCY5	Uncharacterized protein		WP_010921101.1;YP_002518750.1;	8.23578
A0A0H3C562	Thiol:disulfide interchange protein dsbA		WP_010918263.1;YP_002515754.1;	263.677
A0A0H3C8G0	Gluconate 5-dehydrogenase (EC 1.1.1.69)		WP_010919445.1;YP_002517015.1;	26.4037
A0A0H3C6J7	MazE-like antitoxin protein		WP_012640072.1;YP_002516258.1;	63.9129
A0A0H3C9Q5	Xre-family transcriptional regulator		WP_010920189.1;YP_002517788.1;	355.049
A0A0H3C636	Cro/CI-family transcriptional regulator		WP_012639890.1;YP_002515524.1;	357.263
A0A0H3C668	Histidine kinase (EC 2.7.13.3)		WP_010918818.1;YP_002516356.1;	27.0698
A0A0H3C6I2	Uncharacterized protein		WP_010919244.1;YP_002516803.1;	252.784
A0A0H3CA37	DUF2272 domain-containing protein		WP_010920586.1;YP_002518204.1;	118.957
A0A0H3C9N1	Uncharacterized protein		WP_012640460.1;YP_002517749.1;	60.13
A0A0H3C2P3	Phosphoglucomutase/phosphomannomutase (EC 5.4.2.2)		WP_012639874.1;YP_002515458.1;	54.6835
A0A0H3CAT0	MerR-family transcriptional regulator		WP_010920580.1;YP_002518195.1;	71.2997
A0A0H3C814	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA	WP_010919822.1;YP_002517406.1;	1157.65
A0A0H3C4T0	Pseudouridine synthase (EC 5.4.99.-)		WP_010918341.1;YP_002515858.1;	35.9516
A0A0H3CB37	Cell wall hydrolase family protein		WP_010920712.1;YP_002518338.1;	88.1766
A0A0H3C7B8	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX	WP_010919245.1;YP_002516804.4;	198.636
A0A0H3CBD3	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)		WP_010921078.1;YP_002518726.1;	43.6421
A0A0H3C7W7	Single domain receiver protein CleB	cleB	WP_012640218.1;YP_002516799.1;	120.309
A0A0H3CAU8	Alpha/beta hydrolase family protein		WP_010920875.1;YP_002518507.1;	7.79763
A0A0H3CB81	Aminobutyraldehyde dehydrogenase (EC 1.2.1.19)		WP_010921010.1;YP_002518650.1;	74.7485
A0A0H3C8U4	Nitrogen regulatory protein P-II	glnB	WP_010919834.1;YP_002517419.1;	412.944
A0A0H3CBL9	Uncharacterized protein		WP_010920582.1;YP_002518197.1;	25.1689
A0A0H3CCR2	2-oxoacid ferredoxin oxidoreductase Vor	vor	WP_012640689.1;YP_002518652.1;	244.326
A0A0H3CE12	Toxin protein higB	higB	WP_012640638.1;YP_002518506.1;	747.843
A0A0H3C4F0	Thiol:disulfide interchange protein dsbA		WP_010918262.1;YP_002515753.1;	157.302
A0A0H3C8S8	2'-5' RNA ligase family protein (EC 6.5.1.-)		WP_010919514.1;YP_002517086.1;	68.1504
A0A0H3CD76	MPN domain protein		WP_012640574.1;YP_002518203.1;	12.8057
A0A0H3C6V7	RND family efflux transporter, MFP subunit		WP_010918814.1;YP_002516352.1;	19.8528
A0A0H3CD88	Two-component response regulator		WP_010920598.1;YP_002518218.1;	317.099
A0A0H3C8D2	TetR-family transcriptional regulator		WP_010919654.1;YP_002517237.1;	108.686
A0A0H3CC62	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)		WP_010921105.1;YP_002518754.2;	9.56637
A0A0H3CBQ2	Phage host specificity protein		WP_012640581.1;YP_002518234.1;	6.44444
A0A0H3CAS5	Uncharacterized protein		WP_024265842.1;YP_002518190.2;	177.803
A0A0H3C8T7	Luciferase-like monooxygenase (EC 1.14.-.-)		WP_010919823.1;YP_002517407.1;	22.6096
A0A0H3C7S2	Ring hydroxylating diooxygenase (EC 1.14.-.-)		WP_012640051.1;YP_002516147.1;	45.4653
A0A0H3C5J4	OAR protein		WP_012640052.1;YP_002516149.1;	14.3684
A0A0H3C8J1	S-layer protein rsaA	rsaA	WP_024265658.1;YP_002516432.2;	10308.3
A0A0H3CEA0	Carboxymethylenebutenolidase (EC 3.1.1.45)		WP_010921585.1;YP_002519247.1;	43.172
A0A0H3CEK4	Quinone oxidoreductase (EC 1.6.5.5)	qor	WP_010921586.1;YP_002519248.1;	49.8888
A0A0H3CAF8	Uncharacterized protein		WP_012640328.1;YP_002517215.1;	14.243
A0A0H3CC15	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)		WP_010921327.1;YP_002518986.1;	104.245
A0A0H3CB16	Uncharacterized protein		WP_010920684.1;YP_002518310.1;	24.1498
A0A0H3C400	PurR-family transcriptional regulator		WP_024265563.1;YP_002515920.2;	0.0
A0A0H3C9A4	Uncharacterized protein		WP_010919651.1;YP_002517234.1;	84.3385
A0A0H3CE27	Small heat shock protein		WP_015923318.1;YP_002519079.1;	212.381
A0A0H3C588	Flagellar biosynthetic protein FliP	fliP	WP_010918835.1;YP_002516375.1;	136.708
A0A0H3C6M0	Uncharacterized protein		WP_010918665.1;YP_002516194.1;	33.5653
A0A0H3CEN8	Metallophosphatase domain protein		WP_010921077.1;YP_002518725.1;	120.323
A0A0H3C9V2	Oxacillin resistance-associated protein fmtC		WP_012640395.1;YP_002517500.1;	165.412
A0A0H3CBM3	Peptidase S8 family protein		WP_010920585.1;YP_002518202.1;	16.6671
A0A0H3CAV2	Cytochrome c-type biogenesis protein		WP_010920600.1;YP_002518220.1;	182.02
A0A0H3C8D9	Undecaprenyl-phosphate beta-N-acetyl-D-fucosaminephosphotransferase (EC 2.7.8.-)		WP_010919360.1;YP_002516926.1;	84.9527
A0A0H3CCN5	Uncharacterized protein		WP_010921328.1;YP_002518987.1;	508.127
A0A0H3CAZ1	Phosphoglycerate mutase		WP_010919832.1;YP_002517417.1;	34.5662
A0A0H3C5G2	Glycosyltransferase (EC 2.4.1.-)		WP_010918897.1;YP_002516438.1;	143.105
A0A0H3C899	Polar localization protein TipN	tipN	WP_012640250.1;YP_002516925.1;	115.799
A0A0H3C617	AAA-family response regulator flbD	flbD	WP_010918793.1;YP_002516327.1;	158.197
A0A0H3CBM5	Two-component response regulator		WP_010920607.1;YP_002518227.1;	176.231
A0A0H3C4U7	17 kDa surface antigen	osrP	WP_010918724.1;YP_002516255.1;	3.52766
A0A0H3C903	Histidine kinase (EC 2.7.13.3)		WP_010920183.1;YP_002517782.1;	187.318
A0A0H3C3W1	Glutathione S-transferase (EC 2.5.1.18)		WP_010918036.1;YP_002515521.1;	161.069
A0A0H3C6C0	PepSY superfamily protein		WP_024265694.1;YP_002516734.2;	100.998
A0A0H3C6J3	HIG1 domain-containing protein		WP_024265605.1;YP_002516140.2;	351.864
A0A0H3CA56	HipA-family phosphatidylinositol 3/4-kinase		WP_010920611.1;YP_002518231.1;	51.7557
A0A0H3CCW1	Uncharacterized protein		WP_010921074.1;YP_002518722.1;	56.2717
A0A0H3C6V1	Flagellar motor switch protein FliG	fliG	WP_010918790.1;YP_002516324.1;	107.734
A0A0H3C5W9	Uncharacterized protein		WP_010917972.1;YP_002515456.1;	480.697
A0A0H3C5I9	TetR family transcriptional regulator		WP_010918619.1;YP_002516143.1;	138.07
A0A0H3C437	Two-component response regulator chvI	chvI	WP_010918126.1;YP_002515612.1;	125.729
A0A0H3CBN1	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE	WP_024265846.1;YP_002518212.2;	29.5844
A0A0H3C6Q8	Uncharacterized protein		WP_010918722.1;YP_002516253.1;	42.5082
A0A0H3CDH7	Methyl-accepting chemotaxis protein		WP_010920687.1;YP_002518313.1;	14.198
A0A0H3CAL7	Short chain dehydrogenase (EC 1.-.-.-)		WP_010920196.1;YP_002517795.1;	62.5497
A0A0H3C7Z8	N-succinylarginine dihydrolase (EC 3.5.3.23)	astB	WP_010919482.1;YP_002517053.1;	203.875
A0A0H3CCG3	Transcriptional regulator, antitoxin protein higA	higA	WP_010920873.1;YP_002518505.1;	118.994
A0A0H3C8M5	CopY/TcrY family transcriptional repressor		WP_012640294.1;YP_002517085.1;	71.3383
A0A0H3CBZ0	Magnesium and cobalt transport protein CorA		WP_010921017.1;YP_002518657.1;	66.8881
A0A0H3C4N5	L-sorbosone dehydrogenase (EC 1.2.99.-)		WP_010918662.1;YP_002516190.1;	21.4488
A0A0H3C6J6	Carboxypeptidase S (EC 3.4.17.4)		WP_024265607.1;YP_002516146.4;	13.4557
A0A0H3C2K2	Lysine exporter protein		WP_010917919.1;YP_002515404.1;	36.4337
A0A0H3CE89	Tim44-like domain protein		WP_024266001.1;YP_002519230.2;	131.902
A0A0H3CAW1	HTH cro/C1-type domain-containing protein		WP_010920612.1;YP_002518232.1;	102.852
A0A0H3C539	PKHD-type hydroxylase CCNA_00027 (EC 1.14.11.-)		WP_012639859.1;YP_002515402.1;	30.26
A0A0H3CDJ8	Uncharacterized protein		WP_010920710.1;YP_002518336.1;	219.175
A0A0H3C7W4	Myo-inositol catabolism protein IolB	iolB	WP_012640197.1;YP_002516732.1;	30.8377
A0A0H3C8E1	Flagellar hook-basal body complex protein FliE	fliE	WP_010918839.1;YP_002516379.1;	65.3744
A0A0H3C9C4	Ubiquinol-cytochrome C reductase chaperone		WP_010919243.1;YP_002516802.1;	574.276
A0A0H3CC42	Acylamino-acid-releasing enzyme (EC 3.4.19.1)		WP_012640707.1;YP_002518727.1;	360.023
A0A0H3CBC8	Uncharacterized protein		WP_010921073.1;YP_002518720.1;	200.939
A0A0H3CBL5	Toxin protein parE3	parE3	WP_010920597.1;YP_002518216.1;	210.299
A0A0H3CBW3	Uncharacterized protein		WP_024265857.1;YP_002518312.2;	17.3362
A0A0H3CBW2	NeuB-family N-acetylneuraminate synthase (EC 2.5.1.56)		WP_010920708.1;YP_002518334.1;	57.7314
A0A0H3CDJ7	Methyltransferase (EC 2.1.1.-)		WP_010921324.1;YP_002518983.2;	24.1656
A0A0H3C9X7	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)		WP_010919448.1;YP_002517018.1;	158.296
A0A0H3C737	Quinone oxidoreductase (EC 1.6.5.5)		WP_010919443.1;YP_002517013.1;	18.4151
A0A0H3C691	Uncharacterized protein		WP_010918621.1;YP_002516145.2;	12.7024
A0A0H3CBJ2	Uncharacterized protein		WP_012640570.1;YP_002518191.1;	0.0
A0A0H3CEJ8	Uncharacterized protein		WP_024266005.1;YP_002519237.3;	902.066
A0A0H3C4F7	MerR-family transcriptional regulator		WP_010917970.1;YP_002515454.1;	45.1942
A0A0H3C442	Uncharacterized protein		WP_024265521.1;YP_002515618.2;	178.666
A0A0H3C3L9	Ribonuclease T2 (EC 3.1.27.-)		WP_010917920.1;YP_002515405.1;	33.8364
A0A0H3C7Q5	Myo-inositol catabolism protein IolE	iolE	WP_010919177.1;YP_002516731.1;	20.5437
A0A0H3CER7	Cro/CI family transcriptional regulator		WP_010921103.1;YP_002518752.1;	132.935
A0A0H3CC37	Uncharacterized protein		WP_012640706.1;YP_002518721.1;	196.824
A0A0H3C980	Methyltransferase (EC 2.1.1.-)		WP_010919767.1;YP_002517351.1;	55.0392
A0A0H3C9V7	LacI-family transcriptional regulator		WP_010919916.1;YP_002517505.1;	333.936
A0A0H3C7V5	Transposase (Transposase, IS4/5 family)		WP_012640094.1;YP_002516350.1;YP_002516722.1;YP_002518815.1;YP_002519082.1;	108.845
A0A0H3C949	Transposase (Transposase DDE domain protein) (EC 1.2.1.27) (Transposase, DDE family)		WP_012640095.1;YP_002516351.1;YP_002516723.1;YP_002518814.1;YP_002519081.1;	49.1309
A0A0H3C5Q5	Transposase (Transposase, IS2 family)		WP_010918403.1;YP_002515922.1;YP_002517746.1;YP_002518145.1;YP_002518201.1;	30.7701
