Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
P0AF16	MURJ_ECOLI	reviewed	Lipid II flippase MurJ (Peptidoglycan biosynthesis protein MurJ)	murJ mviN yceN b1069 JW1056	Escherichia coli (strain K12)	511	b1069 JW1056		murJ	mviN yceN	5 out of 5	cell wall organization [GO:0071555]; glycolipid translocation [GO:0034203]; lipid-linked peptidoglycan transport [GO:0015836]; lipid translocation [GO:0034204]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	division septum [GO:0000935]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cardiolipin binding [GO:1901612]; lipid-linked peptidoglycan transporter activity [GO:0015648]	GO:0000935; GO:0005886; GO:0005887; GO:0008360; GO:0009252; GO:0015648; GO:0015836; GO:0034203; GO:0034204; GO:0071555; GO:1901612	division septum [GO:0000935]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; cardiolipin binding [GO:1901612]; lipid-linked peptidoglycan transporter activity [GO:0015648]; cell wall organization [GO:0071555]; glycolipid translocation [GO:0034203]; lipid translocation [GO:0034204]; lipid-linked peptidoglycan transport [GO:0015836]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	U00096;AP009048;	AAC74153;BAA35877;		NP_415587.1;WP_001050683.1;
P28903	NRDD_ECOLI	reviewed	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)	nrdD b4238 JW4197	Escherichia coli (strain K12)	712	b4238 JW4197		nrdD		5 out of 5	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	anaerobic ribonucleoside-triphosphate reductase complex [GO:0031250]	ATP binding [GO:0005524]; CTP reductase activity [GO:0051065]; dATP binding [GO:0032564]; dGTP binding [GO:0032567]; pyrimidine deoxyribonucleotide binding [GO:0032556]; ribonucleoside-triphosphate reductase activity [GO:0008998]; zinc ion binding [GO:0008270]	GO:0005524; GO:0006260; GO:0008270; GO:0008998; GO:0009265; GO:0015949; GO:0031250; GO:0032556; GO:0032564; GO:0032567; GO:0051065	anaerobic ribonucleoside-triphosphate reductase complex [GO:0031250]; ATP binding [GO:0005524]; CTP reductase activity [GO:0051065]; dATP binding [GO:0032564]; dGTP binding [GO:0032567]; pyrimidine deoxyribonucleotide binding [GO:0032556]; ribonucleoside-triphosphate reductase activity [GO:0008998]; zinc ion binding [GO:0008270]; 2'-deoxyribonucleotide biosynthetic process [GO:0009265]; DNA replication [GO:0006260]; nucleobase-containing small molecule interconversion [GO:0015949]	L06097;U14003;U00096;AP009048;U06195;Z46865;	AAC77195;BAE78237;		NP_418659.1;WP_000187778.1;
P0AGI1	RBSC_ECOLI	reviewed	Ribose import permease protein RbsC	rbsC b3750 JW3729	Escherichia coli (strain K12)	321	b3750 JW3729		rbsC		5 out of 5	D-ribose transmembrane transport [GO:0015752]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	D-ribose transmembrane transporter activity [GO:0015591]	GO:0005886; GO:0005887; GO:0015591; GO:0015752; GO:0016021; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; D-ribose transmembrane transporter activity [GO:0015591]; D-ribose transmembrane transport [GO:0015752]	M13169;L10328;U00096;AP009048;	AAC76773;BAE77538;		NP_418206.1;WP_000211858.1;
P07012	RF2_ECOLI	reviewed	Peptide chain release factor RF2 (RF-2)	prfB supK b2891 JW5847	Escherichia coli (strain K12)	365	b2891 JW5847		prfB	supK	5 out of 5	translational termination [GO:0006415]	cytosol [GO:0005829]	translation release factor activity, codon specific [GO:0016149]	GO:0005829; GO:0006415; GO:0016149	cytosol [GO:0005829]; translation release factor activity, codon specific [GO:0016149]; translational termination [GO:0006415]	M11520;U28375;U00096;AP009048;J03795;	AAC75929;BAE76956;		NP_417367.1;WP_010723217.1;
P0A944	RIMI_ECOLI	reviewed	[Ribosomal protein S18]-alanine N-acetyltransferase (EC 2.3.1.266) (KAT) (Peptidyl-lysine N-acetyltransferase) (EC 2.3.1.-)	rimI b4373 JW4335	Escherichia coli (strain K12)	148	b4373 JW4335		rimI		5 out of 5	cellular protein modification process [GO:0006464]; internal peptidyl-lysine acetylation [GO:0018393]; N-terminal peptidyl-alanine acetylation [GO:0017189]; N-terminal protein amino acid acetylation [GO:0006474]	cytoplasm [GO:0005737]	N-acetyltransferase activity [GO:0008080]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0005737; GO:0006464; GO:0006474; GO:0008080; GO:0008999; GO:0016747; GO:0017189; GO:0018393; GO:0061733	cytoplasm [GO:0005737]; N-acetyltransferase activity [GO:0008080]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; cellular protein modification process [GO:0006464]; internal peptidyl-lysine acetylation [GO:0018393]; N-terminal peptidyl-alanine acetylation [GO:0017189]; N-terminal protein amino acid acetylation [GO:0006474]	X06117;U14003;U00096;AP009048;L05387;	AAC77326;BAE78361;		NP_418790.1;WP_001092461.1;
P0AG44	RL17_ECOLI	reviewed	50S ribosomal protein L17 (Large ribosomal subunit protein bL17)	rplQ b3294 JW3256	Escherichia coli (strain K12)	127	b3294 JW3256		rplQ		4 out of 5	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]	structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0015934; GO:0022625	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	X02543;J01685;X00766;U18997;U00096;AP009048;	AAC76319;BAE77997;		NP_417753.1;WP_001216368.1;
P0ACG6	HOKD_ECOLI	reviewed	Toxic protein HokD (Protein RelF)	hokD relF b1562 JW1554	Escherichia coli (strain K12)	51	b1562 JW1554		hokD	relF	3 out of 5	cell death [GO:0008219]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]		GO:0005886; GO:0008219; GO:0016020; GO:0016021	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cell death [GO:0008219]	X02405;U00096;AP009048;	AAC74635;BAA15261;		NP_416080.1;WP_000813254.1;
P04968	ILVA_ECOLI	reviewed	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA b3772 JW3745	Escherichia coli (strain K12)	514	b3772 JW3745		ilvA		5 out of 5	branched-chain amino acid biosynthetic process [GO:0009082]; cellular amino acid biosynthetic process [GO:0008652]; isoleucine biosynthetic process [GO:0009097]; threonine catabolic process [GO:0006567]; threonine metabolic process [GO:0006566]		amino acid binding [GO:0016597]; L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]	GO:0004794; GO:0006566; GO:0006567; GO:0008652; GO:0009082; GO:0009097; GO:0016597; GO:0030170	amino acid binding [GO:0016597]; L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]; branched-chain amino acid biosynthetic process [GO:0009082]; cellular amino acid biosynthetic process [GO:0008652]; isoleucine biosynthetic process [GO:0009097]; threonine catabolic process [GO:0006567]; threonine metabolic process [GO:0006566]	X04890;K03503;M10313;M11689;M32253;M87049;U00096;AP009048;M25497;	AAC77492;BAE77525;		NP_418220.1;WP_000785596.1;
P0ADV7	MLAC_ECOLI	reviewed	Intermembrane phospholipid transport system binding protein MlaC	mlaC yrbC b3192 JW3159	Escherichia coli (strain K12)	211	b3192 JW3159		mlaC	yrbC	4 out of 5	intermembrane phospholipid transfer [GO:0120010]; phospholipid transport [GO:0015914]	outer membrane-bounded periplasmic space [GO:0030288]		GO:0015914; GO:0030288; GO:0120010	outer membrane-bounded periplasmic space [GO:0030288]; intermembrane phospholipid transfer [GO:0120010]; phospholipid transport [GO:0015914]	U18997;U00096;AP009048;	AAC76224;BAE77236;		NP_417659.1;WP_000476487.1;
P16691	PHNO_ECOLI	reviewed	Aminoalkylphosphonate N-acetyltransferase (EC 2.3.1.280) (KAT) (Peptidyl-lysine N-acetyltransferase) (EC 2.3.1.-)	phnO b4093 JW4054	Escherichia coli (strain K12)	144	b4093 JW4054		phnO		4 out of 5	aminophosphonate metabolic process [GO:0033051]; internal peptidyl-lysine acetylation [GO:0018393]		N-acetyltransferase activity [GO:0008080]; peptide-lysine-N-acetyltransferase activity [GO:0061733]	GO:0008080; GO:0018393; GO:0033051; GO:0061733	N-acetyltransferase activity [GO:0008080]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; aminophosphonate metabolic process [GO:0033051]; internal peptidyl-lysine acetylation [GO:0018393]	J05260;D90227;U14003;U00096;AP009048;	AAC77054;BAE78096;		NP_418517.1;WP_001110490.1;
P63177	RLMB_ECOLI	reviewed	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	rlmB yjfH b4180 JW4138	Escherichia coli (strain K12)	243	b4180 JW4138		rlmB	yjfH	4 out of 5	enzyme-directed rRNA 2'-O-methylation [GO:0000453]; RNA methylation [GO:0001510]	cytosol [GO:0005829]	RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; rRNA (guanosine-2'-O-)-methyltransferase activity [GO:0070039]	GO:0000453; GO:0001510; GO:0003723; GO:0005829; GO:0008173; GO:0070039	cytosol [GO:0005829]; RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; rRNA (guanosine-2'-O-)-methyltransferase activity [GO:0070039]; enzyme-directed rRNA 2'-O-methylation [GO:0000453]; RNA methylation [GO:0001510]	U14003;U00096;AP009048;	AAC77137;BAE78181;		NP_418601.1;WP_001293282.1;
P60438	RL3_ECOLI	reviewed	50S ribosomal protein L3 (Large ribosomal subunit protein uL3)	rplC b3320 JW3282	Escherichia coli (strain K12)	209	b3320 JW3282		rplC		5 out of 5	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0019843; GO:0022625	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	X02613;U18997;U00096;AP009048;V00344;	AAC76345;BAE77971;		NP_417779.1;WP_000579833.1;
P0A7U3	RS19_ECOLI	reviewed	30S ribosomal protein S19 (Small ribosomal subunit protein uS19)	rpsS b3316 JW3278	Escherichia coli (strain K12)	92	b3316 JW3278		rpsS		5 out of 5	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0003735; GO:0005829; GO:0006412; GO:0019843; GO:0022627	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	X02613;U18997;U00096;AP009048;	AAC76341;BAE77975;		NP_417775.1;WP_001138117.1;
P64604	MLAD_ECOLI	reviewed	Intermembrane phospholipid transport system binding protein MlaD	mlaD yrbD b3193 JW3160	Escherichia coli (strain K12)	183	b3193 JW3160		mlaD	yrbD	5 out of 5		integral component of plasma membrane [GO:0005887]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	phospholipid binding [GO:0005543]; phospholipid transporter activity [GO:0005548]	GO:0005543; GO:0005548; GO:0005886; GO:0005887; GO:0030288; GO:0032991	integral component of plasma membrane [GO:0005887]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; phospholipid binding [GO:0005543]; phospholipid transporter activity [GO:0005548]	U18997;U00096;AP009048;	AAC76225;BAE77237;		NP_417660.1;WP_001296448.1;
P11880	MURF_ECOLI	reviewed	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084	Escherichia coli (strain K12)	452	b0086 JW0084		murF	mra	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytosol [GO:0005829]	ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity [GO:0008766]; UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480]	GO:0005524; GO:0005829; GO:0007049; GO:0008360; GO:0008766; GO:0009252; GO:0047480; GO:0051301; GO:0071555	cytosol [GO:0005829]; ATP binding [GO:0005524]; UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480]; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity [GO:0008766]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	X15432;X55034;U67891;U00096;AP009048;U67893;	AAC73197;BAB96654;		NP_414628.1;WP_000626685.1;
P21369	PNCA_ECOLI	reviewed	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	pncA nam ydjB b1768 JW1757	Escherichia coli (strain K12)	213	b1768 JW1757		pncA	nam ydjB	4 out of 5	pyridine nucleotide salvage [GO:0019365]		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; nicotinamidase activity [GO:0008936]	GO:0008936; GO:0016811; GO:0019365; GO:0046872	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; nicotinamidase activity [GO:0008936]; pyridine nucleotide salvage [GO:0019365]	M26934;U00096;AP009048;	AAC74838;BAA15559;		NP_416282.4;WP_001135066.1;
P77541	PRPB_ECOLI	reviewed	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB yahQ b0331 JW0323	Escherichia coli (strain K12)	296	b0331 JW0323		prpB	yahQ	5 out of 5	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]		magnesium ion binding [GO:0000287]; methylisocitrate lyase activity [GO:0046421]	GO:0000287; GO:0019629; GO:0046421	magnesium ion binding [GO:0000287]; methylisocitrate lyase activity [GO:0046421]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	U73857;U00096;AP009048;	AAC73434;BAE76114;		NP_414865.1;WP_000052206.1;
P31828	PQQL_ECOLI	reviewed	Probable zinc protease PqqL (EC 3.4.24.-)	pqqL yddC b1494 JW1489	Escherichia coli (strain K12)	931	b1494 JW1489		pqqL	yddC	2 out of 5		cytosol [GO:0005829]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0005829; GO:0008237; GO:0046872	cytosol [GO:0005829]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	X71917;X71917;U00096;AP009048;	AAC74567;BAA15164;		NP_416011.1;WP_010723101.1;
P77439	PTFX1_ECOLI	reviewed	Multiphosphoryl transfer protein 1 (MTP 1) (Triphosphoryl transfer protein 1) (TTP 1) [Includes: Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system enzyme I); Phosphocarrier protein HPr (Protein H); PTS system fructose-like EIIA component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIA component)]	fryA ypdD b2383 JW2380	Escherichia coli (strain K12)	831	b2383 JW2380		fryA	ypdD	4 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005737; GO:0008965; GO:0008982; GO:0009401; GO:0016021; GO:0016301; GO:0046872	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	U00096;AP009048;	AAC75442;BAA16253;		NP_416884.1;WP_000955906.1;
P42904	PTPB2_ECOLI	reviewed	N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 (EC 2.7.1.-) (EIIB-Aga') (PTS system N-acetylgalactosamine-specific EIIB component 2)	agaV yhaY b3133 JW3102	Escherichia coli (strain K12)	157	b3133 JW3102		agaV	yhaY	3 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005737; GO:0008982; GO:0009401; GO:0016301	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	U18997;U00096;AP009048;	AAC76167;BAE77180;		NP_417602.4;WP_001336162.1;
P08178	PUR5_ECOLI	reviewed	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM purG b2499 JW2484	Escherichia coli (strain K12)	345	b2499 JW2484		purM	purG	4 out of 5	'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]	cytosol [GO:0005829]	ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]	GO:0004637; GO:0004641; GO:0005524; GO:0005829; GO:0006164; GO:0006189; GO:0046084	cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]	M13747;U00096;AP009048;	AAC75552;BAA16387;		NP_416994.1;WP_001336050.1;
P0AG18	PURE_ECOLI	reviewed	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE b0523 JW0512	Escherichia coli (strain K12)	169	b0523 JW0512		purE		5 out of 5	'de novo' IMP biosynthetic process [GO:0006189]	cytosol [GO:0005829]	5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]; identical protein binding [GO:0042802]	GO:0005829; GO:0006189; GO:0034023; GO:0042802	cytosol [GO:0005829]; 5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]; identical protein binding [GO:0042802]; 'de novo' IMP biosynthetic process [GO:0006189]	X12982;M19657;U82664;U00096;AP009048;	AAC73625;BAE76300;		NP_415056.1;WP_001295318.1;
P33229	RALR_ECOLI	reviewed	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)	ralR lar ral ydaB b1348 JW5208	Escherichia coli (strain K12)	64	b1348 JW5208		ralR	lar ral ydaB	4 out of 5	DNA restriction-modification system [GO:0009307]; response to antibiotic [GO:0046677]		double-stranded DNA endodeoxyribonuclease activity [GO:1990238]	GO:0009307; GO:0046677; GO:1990238	double-stranded DNA endodeoxyribonuclease activity [GO:1990238]; DNA restriction-modification system [GO:0009307]; response to antibiotic [GO:0046677]	L23927;U00096;AP009048;	AAC74430;BAA14948;		NP_415864.1;WP_001317028.1;
P0A7K6	RL19_ECOLI	reviewed	50S ribosomal protein L19 (Large ribosomal subunit protein bL19)	rplS b2606 JW2587	Escherichia coli (strain K12)	115	b2606 JW2587		rplS		5 out of 5	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0070180	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	X01818;U00096;AP009048;	AAC75655;BAA16491;		NP_417097.1;WP_000065253.1;
P0A7M9	RL31_ECOLI	reviewed	50S ribosomal protein L31 (Large ribosomal subunit protein bL31-A)	rpmE b3936 JW3907	Escherichia coli (strain K12)	70	b3936 JW3907		rpmE		5 out of 5	translation [GO:0006412]; translational initiation [GO:0006413]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]	GO:0003735; GO:0005829; GO:0006412; GO:0006413; GO:0008270; GO:0019843; GO:0022625	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]; translational initiation [GO:0006413]	X78541;L19201;U00096;AP009048;	AAC76918;BAE77374;		NP_418371.1;WP_000710769.1;
P37760	RMLD_ECOLI	reviewed	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rfbD rmlD b2040 JW2025	Escherichia coli (strain K12)	299	b2040 JW2025		rfbD	rmlD	4 out of 5	dTDP-rhamnose biosynthetic process [GO:0019305]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]	cytosol [GO:0005829]	dTDP-4-dehydrorhamnose reductase activity [GO:0008831]; metal ion binding [GO:0046872]	GO:0005829; GO:0008831; GO:0009103; GO:0009243; GO:0019305; GO:0045226; GO:0046872	cytosol [GO:0005829]; dTDP-4-dehydrorhamnose reductase activity [GO:0008831]; metal ion binding [GO:0046872]; dTDP-rhamnose biosynthetic process [GO:0019305]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]	U09876;U00096;AP009048;	AAC75101;BAA15882;		NP_416544.1;WP_001023610.1;
P30014	RNT_ECOLI	reviewed	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)	rnt b1652 JW1644	Escherichia coli (strain K12)	215	b1652 JW1644		rnt		5 out of 5	DNA replication proofreading [GO:0045004]; tRNA 3'-end processing [GO:0042780]	cytosol [GO:0005829]	3'-5' exonuclease activity [GO:0008408]; exoribonuclease activity, producing 5'-phosphomonoesters [GO:0016896]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]	GO:0000287; GO:0003676; GO:0005829; GO:0008408; GO:0016896; GO:0042780; GO:0042802; GO:0045004	cytosol [GO:0005829]; 3'-5' exonuclease activity [GO:0008408]; exoribonuclease activity, producing 5'-phosphomonoesters [GO:0016896]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; DNA replication proofreading [GO:0045004]; tRNA 3'-end processing [GO:0042780]	L01622;U00096;AP009048;	AAC74724;BAA15418;		NP_416169.1;WP_001282283.1;
P17334	PTQC_ECOLI	reviewed	PTS system N,N'-diacetylchitobiose-specific EIIC component (EIIC-Chb) (IIcel) (N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIC component)	chbC celB b1737 JW1726	Escherichia coli (strain K12)	452	b1737 JW1726		chbC	celB	4 out of 5	carbohydrate derivative transport [GO:1901264]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:1901264; GO:1902815	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; carbohydrate derivative transport [GO:1901264]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	X52890;U00096;AP009048;	AAC74807;BAA15518;		NP_416251.1;WP_000073041.1;
P0A7G2	RBFA_ECOLI	reviewed	30S ribosome-binding factor (Protein P15B) (Ribosome-binding factor A) (RbfA)	rbfA P15B yhbB b3167 JW3136	Escherichia coli (strain K12)	133	b3167 JW3136		rbfA	P15B yhbB	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; maturation of SSU-rRNA [GO:0030490]; response to cold [GO:0009409]; ribosome biogenesis [GO:0042254]	cytosol [GO:0005829]	ribosomal small subunit binding [GO:0043024]	GO:0005829; GO:0006974; GO:0009409; GO:0030490; GO:0042254; GO:0043024	cytosol [GO:0005829]; ribosomal small subunit binding [GO:0043024]; cellular response to DNA damage stimulus [GO:0006974]; maturation of SSU-rRNA [GO:0030490]; response to cold [GO:0009409]; ribosome biogenesis [GO:0042254]	X13270;X13775;U18997;U00096;AP009048;	AAC76201;BAE77213;		NP_417636.1;WP_001040205.1;
