Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
O31578	YFHJ_BACSU	reviewed	Uncharacterized protein YfhJ	yfhJ BSU08560	Bacillus subtilis (strain 168)	89	BSU08560		yfhJ		1 out of 5						D85082;AL009126;	CAB12684;		NP_388736.1;WP_003243789.1;
O31564	YFIV_BACSU	reviewed	Uncharacterized HTH-type transcriptional regulator YfiV	yfiV BSU08410	Bacillus subtilis (strain 168)	160	BSU08410		yfiV		2 out of 5	regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0006355	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]	D85082;AL009126;	CAB12670;		NP_388722.1;WP_003244538.1;
O34722	YFMG_BACSU	reviewed	Uncharacterized protein YfmG	yfmG BSU07480	Bacillus subtilis (strain 168)	487	BSU07480		yfmG		1 out of 5						D86417;AL009126;	CAB12577;		NP_388629.1;WP_003244287.1;
P33189	YHXA_BACSU	reviewed	Uncharacterized aminotransferase YhxA (EC 2.6.-.-)	yhxA BSU09260	Bacillus subtilis (strain 168)	450	BSU09260		yhxA		2 out of 5	biotin biosynthetic process [GO:0009102]; glycerol metabolic process [GO:0006071]		adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]	GO:0004015; GO:0006071; GO:0009102; GO:0030170	adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]; glycerol metabolic process [GO:0006071]	Y14079;AL009126;X96983;	CAB12754;		NP_388807.2;WP_010886456.1;
Q796P5	YITY_BACSU	reviewed	Uncharacterized FAD-linked oxidoreductase YitY (EC 1.-.-.-)	yitY BSU11170	Bacillus subtilis (strain 168)	476	BSU11170		yitY		2 out of 5			FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0071949	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	Z79580;Y09476;AL009126;	CAB12958;		NP_388999.3;WP_003232994.1;
O34783	YKUS_BACSU	reviewed	UPF0180 protein YkuS	ykuS BSU14200	Bacillus subtilis (strain 168)	81	BSU14200		ykuS		1 out of 5						AJ222587;AL009126;	CAB13293;		NP_389303.1;WP_003232382.1;
O34997	YKOY_BACSU	reviewed	Uncharacterized membrane protein YkoY	ykoY BSU13440	Bacillus subtilis (strain 168)	324	BSU13440		ykoY		2 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	AL009126;	CAB13201;		NP_389227.1;WP_009967096.1;
O34960	YJGB_BACSU	reviewed	Uncharacterized protein YjgB	yjgB BSU12150	Bacillus subtilis (strain 168)	191	BSU12150		yjgB		1 out of 5						AF015825;AL009126;	CAB13072;		NP_389097.1;WP_003245827.1;
P37494	YYBJ_BACSU	reviewed	Uncharacterized ABC transporter ATP-binding protein YybJ	yybJ BSU40620	Bacillus subtilis (strain 168)	218	BSU40620		yybJ		2 out of 5			ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0042626	ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	M77837;D26185;AL009126;	CAB16099;		NP_391942.1;WP_003243153.1;
P40775	YDJM_BACSU	reviewed	Uncharacterized protein YdjM (PSPA13)	ydjM yzvA BSU06250	Bacillus subtilis (strain 168)	123	BSU06250		ydjM	yzvA	1 out of 5						AB007638;AL009126;M22905;	CAB12444;		NP_388506.1;WP_003234013.1;
O34633	YJLC_BACSU	reviewed	Uncharacterized protein YjlC	yjlC BSU12280	Bacillus subtilis (strain 168)	140	BSU12280		yjlC		1 out of 5						AF015825;AL009126;	CAB13085;		NP_389110.1;WP_003220510.1;
O34585	YJZC_BACSU	reviewed	Uncharacterized protein YjzC	yjzC BSU11260	Bacillus subtilis (strain 168)	59	BSU11260		yjzC		1 out of 5						AL009126;	CAB12967;		NP_389008.1;WP_003245356.1;
C0H3W1	YDZQ_BACSU	reviewed	Uncharacterized protein YdzQ	ydzQ BSU05409	Bacillus subtilis (strain 168)	47	BSU05409		ydzQ		1 out of 5						AL009126;	CAX52559;		WP_003243880.1;YP_003097686.1;
O31870	YOTE_BACSU	reviewed	SPbeta prophage-derived uncharacterized protein YotE	yotE BSU19910	Bacillus subtilis (strain 168)	48	BSU19910		yotE		1 out of 5						AL009126;	CAB13882;		NP_389872.1;WP_009967447.1;
O32244	YVBG_BACSU	reviewed	UPF0056 membrane protein YvbG	yvbG BSU33850	Bacillus subtilis (strain 168)	211	BSU33850		yvbG		2 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	AL009126;	CAB15390;		NP_391265.1;WP_010886614.1;
Q796A8	YOTI_BACSU	reviewed	SPbeta prophage-derived uncharacterized protein YotI	yotI yodW yokF BSU19870	Bacillus subtilis (strain 168)	120	BSU19870		yotI	yodW yokF	1 out of 5						AF006665;AF015775;AL009126;	CAB13878;		NP_389868.1;WP_004399562.1;
P39614	YWDF_BACSU	reviewed	Uncharacterized glycosyltransferase YwdF (EC 2.4.-.-)	ywdF BSU37980 ipa-56d	Bacillus subtilis (strain 168)	268	BSU37980	ipa-56d	ywdF		1 out of 5			transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	transferase activity, transferring glycosyl groups [GO:0016757]	X73124;AL009126;	CAB15824;		NP_391677.1;WP_003242519.1;
P54179	YPMS_BACSU	reviewed	Uncharacterized protein YpmS	ypmS BSU21730	Bacillus subtilis (strain 168)	187	BSU21730		ypmS		1 out of 5		integral component of membrane [GO:0016021]		GO:0016021	integral component of membrane [GO:0016021]	L77246;AL009126;	CAB14091;		NP_390056.1;WP_003230807.1;
P54430	YRKC_BACSU	reviewed	Uncharacterized protein YrkC	yrkC BSU26560	Bacillus subtilis (strain 168)	186	BSU26560		yrkC		1 out of 5			ATP binding [GO:0005524]	GO:0005524	ATP binding [GO:0005524]	D84432;AL009126;	CAB14597;		NP_390533.1;WP_004398494.1;
P45924	YQBH_BACSU	reviewed	Uncharacterized protein YqbH	yqbH BSU26110	Bacillus subtilis (strain 168)	120	BSU26110		yqbH		1 out of 5						D84432;AL009126;	CAB14552;		NP_390488.1;WP_003229925.1;
P94500	YRDK_BACSU	reviewed	Uncharacterized protein YrdK	yrdK BSU26680	Bacillus subtilis (strain 168)	105	BSU26680		yrdK		1 out of 5						U79494;U93876;AL009126;	CAB14609;		NP_390545.2;WP_009967853.1;
C0H464	YRZT_BACSU	reviewed	Uncharacterized membrane protein YrzT	yrzT BSU27809	Bacillus subtilis (strain 168)	46	BSU27809		yrzT		1 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	AL009126;	CAX52675;		WP_004398683.1;YP_003097769.1;
O34452	YRRB_BACSU	reviewed	TPR repeat-containing protein YrrB	yrrB BSU27490	Bacillus subtilis (strain 168)	206	BSU27490		yrrB		2 out of 5						AL009126;	CAB14690;		NP_390626.1;WP_010886584.1;
O34636	YOCA_BACSU	reviewed	Uncharacterized membrane protein YocA	yocA BSU19130	Bacillus subtilis (strain 168)	225	BSU19130		yocA		2 out of 5	cellular carbohydrate catabolic process [GO:0044275]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021; GO:0044275	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cellular carbohydrate catabolic process [GO:0044275]	AF027868;AL009126;	CAB13805;		NP_389794.1;WP_003231283.1;
O34844	YODB_BACSU	reviewed	HTH-type transcriptional regulator YodB	yodB BSU19540	Bacillus subtilis (strain 168)	112	BSU19540		yodB		3 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]	protein-DNA complex [GO:0032993]	DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0001217; GO:0032993; GO:0045892	protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; negative regulation of transcription, DNA-templated [GO:0045892]	AF006665;AF015775;AL009126;	CAB13845;		NP_389835.1;WP_004399427.1;
P54449	YQED_BACSU	reviewed	Uncharacterized protein YqeD	yqeD BSU25720	Bacillus subtilis (strain 168)	208	BSU25720		yqeD		1 out of 5		integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]		GO:0005886; GO:0016020; GO:0016021	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	D84432;AL009126;	CAB14513;		NP_390449.1;WP_003229962.1;
O34377	YOBM_BACSU	reviewed	Uncharacterized protein YobM	yobM BSU19010	Bacillus subtilis (strain 168)	185	BSU19010		yobM		1 out of 5						AF027868;AL009126;	CAB13793;		NP_389782.2;WP_004399321.1;
O34506	YNGL_BACSU	reviewed	UPF0713 protein YngL	yngL BSU18290	Bacillus subtilis (strain 168)	130	BSU18290		yngL		2 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	Y13917;AF184956;AL009126;	CAB13712;		NP_389711.1;WP_003231518.1;
P94485	YNAG_BACSU	reviewed	Uncharacterized protein YnaG	ynaG BSU17550	Bacillus subtilis (strain 168)	91	BSU17550		ynaG		1 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	U66480;AL009126;	CAB13639;		NP_389637.1;WP_003245005.1;
P54558	YQJU_BACSU	reviewed	Uncharacterized protein YqjU	yqjU BSU23740	Bacillus subtilis (strain 168)	52	BSU23740		yqjU		1 out of 5		integral component of membrane [GO:0016021]		GO:0016021	integral component of membrane [GO:0016021]	D84432;AL009126;	CAB14306;		NP_390255.1;WP_004398585.1;
P54538	YQJA_BACSU	reviewed	Uncharacterized protein YqjA	yqjA BSU23950	Bacillus subtilis (strain 168)	322	BSU23950		yqjA		1 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	D84432;AL009126;	CAB14326;		NP_390275.2;WP_003246146.1;
P94495	YNCE_BACSU	reviewed	Uncharacterized protein YncE	yncE BSU17650	Bacillus subtilis (strain 168)	153	BSU17650		yncE		1 out of 5						U66480;AL009126;	CAB13649;		NP_389648.2;WP_003245293.1;
O34701	YOAU_BACSU	reviewed	Uncharacterized HTH-type transcriptional regulator YoaU	yoaU BSU18760	Bacillus subtilis (strain 168)	290	BSU18760		yoaU		2 out of 5	positive regulation of gene expression [GO:0010628]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0010628; GO:0043565	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of gene expression [GO:0010628]	AF027868;AL009126;	CAB13768;		NP_389757.1;WP_004399248.1;
O31672	MHQR_BACSU	reviewed	HTH-type transcriptional regulator MhqR	mhqR ykvE BSU13670	Bacillus subtilis (strain 168)	145	BSU13670		mhqR	ykvE	2 out of 5	regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0006355	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]	AL009126;	CAB13240;		NP_389250.1;WP_003232475.1;
P31113	MENG_BACSU	reviewed	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	menG gerC2 gerCB menH BSU22750	Bacillus subtilis (strain 168)	233	BSU22750		menG	gerC2 gerCB menH	3 out of 5	menaquinone biosynthetic process [GO:0009234]; methylation [GO:0032259]		demethylmenaquinone methyltransferase activity [GO:0043770]; methyltransferase activity [GO:0008168]; S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity [GO:0102955]; S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity [GO:0102094]; S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity [GO:0102027]	GO:0008168; GO:0009234; GO:0032259; GO:0043770; GO:0102027; GO:0102094; GO:0102955	demethylmenaquinone methyltransferase activity [GO:0043770]; methyltransferase activity [GO:0008168]; S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity [GO:0102094]; S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity [GO:0102955]; S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity [GO:0102027]; menaquinone biosynthetic process [GO:0009234]; methylation [GO:0032259]	M80245;AL009126;	CAB14191;		NP_390156.1;WP_003230580.1;
P25812	MNMG_BACSU	reviewed	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA BSU41010	Bacillus subtilis (strain 168)	628	BSU41010		mnmG	gidA	2 out of 5	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	cytosol [GO:0005829]	flavin adenine dinucleotide binding [GO:0050660]	GO:0002098; GO:0005829; GO:0030488; GO:0050660	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	X62539;D26185;AL009126;	CAB16138;		NP_391981.1;WP_003226825.1;
O31668	MTNB_BACSU	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	mtnB ykrY BSU13610	Bacillus subtilis (strain 168)	209	BSU13610		mtnB	ykrY	4 out of 5	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	cytoplasm [GO:0005737]	methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270; GO:0019284; GO:0019509; GO:0046570	cytoplasm [GO:0005737]; methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	AL009126;	CAB13234;		NP_389244.1;WP_003244782.1;
O34349	PGPB_BACSU	reviewed	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	pgpB yodM BSU19650	Bacillus subtilis (strain 168)	203	BSU19650		pgpB	yodM	3 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	phosphatidylglycerophosphatase activity [GO:0008962]	GO:0005886; GO:0008962; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphatidylglycerophosphatase activity [GO:0008962]	AF015775;AL009126;	CAB13856;		NP_389846.1;WP_004399336.1;
P39794	PTTBC_BACSU	reviewed	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	treP treB BSU07800	Bacillus subtilis (strain 168)	470	BSU07800		treP	treB	4 out of 5	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; trehalose transport [GO:0015771]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; protein-phosphocysteine-trehalose phosphotransferase system transporter activity [GO:0090589]; trehalose transmembrane transporter activity [GO:0015574]	GO:0005886; GO:0008982; GO:0009401; GO:0015574; GO:0015771; GO:0016021; GO:0016301; GO:0034219; GO:0090563; GO:0090589	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; protein-phosphocysteine-trehalose phosphotransferase system transporter activity [GO:0090589]; trehalose transmembrane transporter activity [GO:0015574]; carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; trehalose transport [GO:0015771]	Z54245;D83967;D86417;AL009126;X80203;	CAB12609;		NP_388661.1;WP_003233682.1;
P12040	PUR3_BACSU	reviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN BSU06510	Bacillus subtilis (strain 168)	195	BSU06510		purN		3 out of 5	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	phosphoribosylglycinamide formyltransferase activity [GO:0004644]	GO:0004644; GO:0005737; GO:0005829; GO:0006189	cytoplasm [GO:0005737]; cytosol [GO:0005829]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]	J02732;AL009126;	CAB12471;		NP_388533.2;WP_003244322.1;
P08838	PT1_BACSU	reviewed	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI BSU13910	Bacillus subtilis (strain 168)	570	BSU13910		ptsI		3 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]	GO:0005737; GO:0008965; GO:0009401; GO:0016301; GO:0046872	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	M98359;AL009126;X12832;L08809;	CAB13264;		NP_389274.2;WP_003218638.1;
P00497	PUR1_BACSU	reviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490	Bacillus subtilis (strain 168)	476	BSU06490		purF		5 out of 5	'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; nucleoside metabolic process [GO:0009116]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]		4 iron, 4 sulfur cluster binding [GO:0051539]; amidophosphoribosyltransferase activity [GO:0004044]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004044; GO:0006164; GO:0006189; GO:0006541; GO:0009113; GO:0009116; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; amidophosphoribosyltransferase activity [GO:0004044]; magnesium ion binding [GO:0000287]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; nucleoside metabolic process [GO:0009116]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]	J02732;AL009126;	CAB12469;		NP_388531.2;WP_003233947.1;
P60495	PXPB_BACSU	reviewed	5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B) (Antikinase KipI) (Kinase A inhibitor) (Sporulation inhibitor KipI)	pxpB kipI ycsJ BSU04080	Bacillus subtilis (strain 168)	240	BSU04080		pxpB	kipI ycsJ	4 out of 5	sporulation resulting in formation of a cellular spore [GO:0030435]		5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; protein kinase inhibitor activity [GO:0004860]	GO:0004860; GO:0005524; GO:0017168; GO:0030435	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; protein kinase inhibitor activity [GO:0004860]; sporulation resulting in formation of a cellular spore [GO:0030435]	D38161;D50453;AL009126;	CAB12216;		NP_388290.2;WP_003234420.1;
O32294	RAPG_BACSU	reviewed	Response regulator aspartate phosphatase G (EC 3.1.-.-)	rapG yycM BSU40300	Bacillus subtilis (strain 168)	365	BSU40300		rapG	yycM	2 out of 5			phosphoprotein phosphatase activity [GO:0004721]	GO:0004721	phosphoprotein phosphatase activity [GO:0004721]	AL009126;	CAB16067;		NP_391910.1;WP_003243386.1;
P39131	MNAA_BACSU	reviewed	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (UDP-GlcNAc-2-epimerase)	mnaA BSU35660	Bacillus subtilis (strain 168)	380	BSU35660		mnaA		3 out of 5	cell wall organization [GO:0071555]; teichoic acid biosynthetic process [GO:0019350]	cytoplasm [GO:0005737]	UDP-N-acetylglucosamine 2-epimerase activity [GO:0008761]	GO:0005737; GO:0008761; GO:0019350; GO:0071555	cytoplasm [GO:0005737]; UDP-N-acetylglucosamine 2-epimerase activity [GO:0008761]; cell wall organization [GO:0071555]; teichoic acid biosynthetic process [GO:0019350]	Z22516;AL009126;	CAB15583;		NP_391446.1;WP_003243178.1;
Q45479	LSPA_BACSU	reviewed	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp BSU15450	Bacillus subtilis (strain 168)	154	BSU15450		lspA	lsp	3 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]	U48870;AL009126;	CAB13419;		NP_389428.1;WP_003245047.1;
P54571	MLEN_BACSU	reviewed	Malate-2H(+)/Na(+)-lactate antiporter	mleN yqkI BSU23560	Bacillus subtilis (strain 168)	468	BSU23560		mleN	yqkI	2 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	sodium:proton antiporter activity [GO:0015385]	GO:0005886; GO:0015385; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sodium:proton antiporter activity [GO:0015385]	D84432;AL009126;	CAB14288;		NP_390237.1;WP_003230432.1;
O05229	MRPD_BACSU	reviewed	Na(+)/H(+) antiporter subunit D (Mrp complex subunit D) (Multiple resistance and pH homeostasis protein D)	mrpD yufD BSU31630	Bacillus subtilis (strain 168)	493	BSU31630		mrpD	yufD	3 out of 5	ATP synthesis coupled electron transport [GO:0042773]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385]	GO:0005886; GO:0008137; GO:0015385; GO:0015386; GO:0016021; GO:0042773	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385]; ATP synthesis coupled electron transport [GO:0042773]	Z93932;AL009126;	CAB15152;		NP_391041.3;WP_003244432.1;
C0SP78	MNEP_BACSU	reviewed	Manganese efflux system protein MneP	mneP ydfM BSU05470	Bacillus subtilis (strain 168)	297	BSU05470		mneP	ydfM	3 out of 5		integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cation transmembrane transporter activity [GO:0008324]	GO:0005886; GO:0008324; GO:0016020; GO:0016021	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]	AB001488;AL009126;	CAB12354;		NP_388428.2;WP_003244477.1;
O31612	NADK1_BACSU	reviewed	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610	Bacillus subtilis (strain 168)	266	BSU11610		ppnKA	nadF yjbN	5 out of 5	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD+ kinase activity [GO:0003951]; NAD binding [GO:0051287]	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0019674; GO:0046872; GO:0051287	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	AL009126;	CAB13018;		NP_389043.1;WP_003232918.1;
O34627	PHOT_BACSU	reviewed	Blue-light photoreceptor (Photoactive flavo-yellow protein) (Phototropin homolog)	pfyP ytvA BSU30340	Bacillus subtilis (strain 168)	261	BSU30340		pfyP	ytvA	4 out of 5	protein-chromophore linkage [GO:0018298]; response to stimulus [GO:0050896]		photoreceptor activity [GO:0009881]	GO:0009881; GO:0018298; GO:0050896	photoreceptor activity [GO:0009881]; protein-chromophore linkage [GO:0018298]; response to stimulus [GO:0050896]	AF008220;AL009126;	CAB15012;		NP_390912.1;WP_004399022.1;
P39760	KTRC_BACSU	reviewed	Ktr system potassium uptake protein C (K(+)-uptake protein KtrC) (ORF4)	ktrC ykqB ylxV yzaC BSU14510	Bacillus subtilis (strain 168)	221	BSU14510		ktrC	ykqB ylxV yzaC	3 out of 5	potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]	cation transmembrane transporter activity [GO:0008324]	GO:0005886; GO:0006813; GO:0008324	plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	D37799;AF012285;AL009126;	CAB13324;		NP_389334.1;WP_003222311.1;
O32080	KTRA_BACSU	reviewed	Ktr system potassium uptake protein A (K(+)-uptake protein KtrA)	ktrA yuaA BSU31090	Bacillus subtilis (strain 168)	222	BSU31090		ktrA	yuaA	5 out of 5	potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]	cation transmembrane transporter activity [GO:0008324]; identical protein binding [GO:0042802]	GO:0005886; GO:0006813; GO:0008324; GO:0042802	plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]; identical protein binding [GO:0042802]; potassium ion transport [GO:0006813]	AL009126;	CAB15087;		NP_390987.1;WP_003243377.1;
P39751	MBL_BACSU	reviewed	Cell shape-determining protein Mbl (Actin-like Mbl protein) (Rod shape-determining protein Mbl)	mbl BSU36410	Bacillus subtilis (strain 168)	333	BSU36410		mbl		4 out of 5	cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]	GO:0000902; GO:0005524; GO:0005737; GO:0008360	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	U12962;AL009126;Z82987;	CAB15658;		NP_391522.2;WP_003227776.1;
